"protein,regulation,negative,positive,,,"
"ion,targeting,positive,regulation,,,"
"ion,negative,positive,,,,"
"regulation,ion,metabolic process,,,,"
"catabolic process,regulation,,,,,"
"ion,regulation,protein,,,,"
"transport,negative,regulation,protein,positive,,"
"repair,protein,targeting,positive,regulation,transport,"
"ion,protein,catabolic process,negative,,,"
"ion,catabolic process,regulation,,,,"
"positive,regulation,histone,,,,"
"protein,starvation,positive,regulation,negative,,"
"negative,regulation,transport,,,,"
"regulation,ion,positive,starvation,,,"
"regulation,ion,metabolic process,protein,catabolic process,starvation,"
"catabolic process,positive,regulation,starvation,,,"
"ion,protein,metabolic process,positive,regulation,,"
"regulation,ion,negative,starvation,,,"
"protein,catabolic process,transport,negative,regulation,positive,histone"
"starvation,catabolic process,positive,regulation,,,"
"targeting,catabolic process,negative,regulation,ion,,"
"catabolic process,ion,targeting,,,,"
"protein,transport,,,,,"
"transport,ion,positive,regulation,,,"
"ion,metabolic process,positive,,,,"
"ion,negative,regulation,catabolic process,positive,,"
"copper,ion,positive,regulation,protein,negative,"
"repair,ion,regulation,positive,,,"
"repair,protein,transport,regulation,,,"
"protein,membrane organization,negative,regulation,,,"
"ion,regulation,histone,,,,"
"ion,repair,histone,catabolic process,regulation,transport,"
"targeting,negative,regulation,ion,,,"
"positive,regulation,protein,negative,,,"
"positive,regulation,catabolic process,,,,"
"ion,positive,regulation,starvation,,,"
"regulation,positive,histone,,,,"
"targeting,catabolic process,,,,,"
"regulation,protein,negative,,,,"
"protein,histone,positive,regulation,,,"
"metabolic process,protein,histone,positive,regulation,,"
"biological_process,,,,,,"
"regulation,starvation,protein,,,,"
"transport,regulation,ion,,,,"
"targeting,,,,,,"
"ion,positive,protein,,,,"
"negative,regulation,positive,protein,catabolic process,,"
"targeting,metabolic process,ion,,,,"
"ion,negative,regulation,positive,,,"
"transport,positive,regulation,ion,,,"
"transport,ion,negative,membrane organization,,,"
"positive,regulation,metabolic process,,,,"
"protein,ion,histone,positive,,,"
"repair,protein,positive,regulation,,,"
"ion,transport,positive,regulation,,,"
"targeting,copper,ion,transport,,,"
"histone,ion,regulation,catabolic process,,,"
"histone,regulation,positive,negative,,,"
"protein,catabolic process,ion,negative,,,"
"regulation,ion,repair,protein,positive,,"
"regulation,protein,ion,negative,,,"
"regulation,ion,protein,metabolic process,,,"
"catabolic process,positive,regulation,ion,,,"
"ion,negative,protein,transport,,,"
"ion,negative,regulation,catabolic process,histone,,"
"ion,protein,negative,positive,,,"
"protein,regulation,catabolic process,,,,"
"positive,regulation,protein,catabolic process,,,"
"regulation,ion,positive,catabolic process,,,"
"ion,catabolic process,positive,regulation,,,"
"regulation,histone,positive,negative,,,"
"ion,negative,regulation,positive,histone,,"
"transport,regulation,positive,,,,"
"metabolic process,ion,negative,regulation,,,"
"positive,regulation,histone,repair,,,"
"regulation,catabolic process,ion,protein,,,"
"repair,negative,regulation,protein,,,"
"protein,positive,regulation,histone,,,"
"positive,regulation,ion,negative,,,"
"ion,catabolic process,negative,regulation,,,"
"ion,starvation,positive,regulation,,,"
"ion,histone,positive,regulation,,,"
"ion,metabolic process,starvation,,,,"
"histone,ion,positive,regulation,,,"
"membrane organization,ion,metabolic process,transport,,,"
"ion,negative,positive,histone,repair,,"
"transport,ion,protein,,,,"
"transport,protein,negative,regulation,ion,positive,"
"regulation,ion,protein,catabolic process,,,"
"ion,negative,regulation,catabolic process,,,"
"regulation,ion,protein,positive,starvation,,"
"targeting,negative,regulation,ion,transport,,"
"ion,regulation,transport,,,,"
"histone,transport,,,,,"
"catabolic process,regulation,ion,negative,,,"
"protein,ion,positive,regulation,,,"
"regulation,ion,positive,histone,repair,,"
"ion,targeting,transport,,,,"
"transport,protein,positive,regulation,,,"
"transport,ion,positive,,,,"
"starvation,,,,,,"
"positive,regulation,histone,ion,,,"
"repair,protein,histone,transport,,,"
"protein,ion,targeting,,,,"
"positive,regulation,ion,protein,negative,,"
"ion,positive,negative,,,,"
"transport,copper,ion,,,,"
"regulation,protein,catabolic process,ion,,,"
"regulation,ion,metabolic process,transport,positive,,"
"starvation,ion,positive,,,,"
"repair,positive,regulation,protein,,,"
"regulation,ion,starvation,protein,,,"
"positive,regulation,protein,ion,,,"
"protein,ion,histone,,,,"
"protein,ion,negative,metabolic process,,,"
"ion,protein,metabolic process,negative,regulation,,"
"catabolic process,positive,regulation,,,,"
"ion,regulation,negative,positive,,,"
"catabolic process,targeting,transport,ion,,,"
"catabolic process,regulation,transport,,,,"
"transport,negative,regulation,,,,"
"ion,protein,positive,,,,"
"ion,regulation,transport,negative,,,"
"regulation,repair,,,,,"
"ion,negative,histone,repair,,,"
"regulation,ion,histone,positive,starvation,,"
"catabolic process,ion,repair,,,,"
"protein,positive,regulation,negative,,,"
"transport,protein,ion,,,,"
"ion,protein,positive,starvation,,,"
"ion,negative,histone,,,,"
"catabolic process,metabolic process,,,,,"
"protein,ion,transport,catabolic process,,,"
"protein,ion,positive,negative,,,"
"ion,histone,negative,,,,"
"ion,histone,positive,,,,"
"histone,protein,,,,,"
"regulation,metabolic process,protein,histone,positive,,"
"regulation,ion,repair,protein,catabolic process,,"
"catabolic process,ion,positive,regulation,,,"
"ion,negative,protein,positive,metabolic process,,"
"ion,negative,protein,histone,positive,catabolic process,"
"targeting,positive,regulation,ion,,,"
"catabolic process,repair,positive,regulation,,,"
"ion,negative,positive,protein,histone,,"
"positive,regulation,repair,negative,,,"
"histone,ion,,,,,"
"ion,targeting,catabolic process,,,,"
"regulation,positive,repair,negative,,,"
"protein,ion,regulation,,,,"
"transport,ion,positive,biological_process,,,"
"catabolic process,regulation,positive,,,,"
"targeting,regulation,ion,,,,"
"transport,positive,regulation,,,,"
"regulation,membrane organization,,,,,"
"ion,negative,protein,positive,,,"
"targeting,metabolic process,ion,membrane organization,,,"
"protein,catabolic process,histone,,,,"
"repair,histone,regulation,positive,,,"
"ion,protein,membrane organization,,,,"
"targeting,transport,ion,positive,regulation,,"
"protein,ion,catabolic process,,,,"
"positive,regulation,negative,starvation,,,"
"ion,negative,starvation,,,,"
"ion,protein,positive,regulation,metabolic process,negative,"
"regulation,ion,positive,repair,,,"
"ion,transport,regulation,,,,"
"metabolic process,positive,regulation,starvation,transport,,"
