,gene,validation,localization
228,YJR139C,Verified,ion
229,YBR133C,Verified,ion
230,YBR162C,Verified,biological_process
231,YNL331C,Verified,metabolic process
232,YJL079C,Verified,transport
233,SCER_lnc1695,null,null
234,YGL019W,Verified,regulation
235,YGR201C,Uncharacterized,biological_process
236,YNL172W,Verified,ion
237,YNL058C,Uncharacterized,biological_process
238,YPL160W,Verified,ion
239,YNL023C,Verified,biological_process
240,YDR214W,Verified,protein
241,YIL126W,Verified,repair
242,YLR295C,Verified,transport
243,YHR168W,Verified,ion
244,YOR064C,Verified,ion
245,YOR159C,Verified,null
246,YOL081W,Verified,negative
247,YOL036W,Uncharacterized,biological_process
248,YGL148W,Verified,null
249,YBR282W,Verified,ion
250,YDR194C,Verified,ion
251,YOL114C,Verified,ion
252,YNL257C,Verified,transport
253,YNR030W,Verified,protein
254,YKL076C,Dubious,biological_process
255,YDR466W,Verified,ion
256,YFR045W,Uncharacterized,transport
257,YIL002C,Verified,ion
258,YGR159C,Verified,null
259,YGL089C,Verified,null
260,YFR032C,Uncharacterized,biological_process
261,YNL118C,Verified,ion
262,YGL228W,Verified,null
263,YJR117W,Verified,protein
264,YLR357W,Verified,repair
265,YER127W,Verified,null
266,YBL015W,Verified,metabolic process
267,YLR017W,Verified,ion
268,YHR110W,Verified,transport
269,YBR041W,Verified,metabolic process
270,YOR394W,Verified,biological_process
271,YPL078C,Verified,transport
272,YCL068C,Uncharacterized,biological_process
273,YDL039C,Verified,ion
274,YKL202W,Dubious,biological_process
275,YOR264W,Verified,biological_process
276,YGR184C,Verified,protein
277,YOR366W,Dubious,biological_process
278,YNL275W,Verified,protein
279,YAR015W,Verified,null
280,YOR384W,Verified,biological_process
281,YLL051C,Verified,ion
282,YDR395W,Verified,transport
283,YLR079W,Verified,regulation
284,YLR408C,Verified,null
285,YMR093W,Verified,ion
286,YKR066C,Verified,null
287,YDR079W,Verified,null
288,YMR268C,Verified,null
289,YOR169C,Dubious,biological_process
290,YML070W,Verified,catabolic process
291,YPR072W,Verified,ion
292,YMR108W,Verified,null
293,YCR091W,Verified,ion
294,YER062C,Verified,metabolic process
295,YDR244W,Verified,protein
296,YER189W,Uncharacterized,biological_process
297,YJL009W,Dubious,biological_process
298,YDL137W,Verified,null
299,YGR271W,Verified,ion
300,YDR233C,Verified,ion
301,YGR071C,Verified,protein
302,YCR106W,Verified,null
303,YBL100C,Dubious,biological_process
304,YDR489W,Verified,repair
305,YPL282C,Verified,biological_process
306,SCER_lnc0058,null,null
307,SCER_lnc0054,null,null
308,YDL057W,Uncharacterized,biological_process
309,YPR014C,Dubious,biological_process
310,SCER_lnc0057,null,null
311,SCER_lnc0050,null,null
312,YEL045C,Dubious,biological_process
313,YPL235W,Verified,regulation
314,YLR122C,Dubious,biological_process
315,YLR155C,Verified,catabolic process
316,YBL087C,Verified,ion
317,YJL132W,Uncharacterized,biological_process
318,YGL190C,Verified,negative
319,YBR110W,Verified,protein
320,YDR144C,Verified,ion
321,YFL046W,Verified,null
322,YOR103C,Verified,protein
323,YKL137W,Verified,null
324,YDR447C,Verified,ion
325,YAL061W,Uncharacterized,biological_process
326,YNL324W,Dubious,biological_process
327,YPR145W,Verified,null
328,YJL063C,Verified,ion
329,YPL021W,Verified,null
330,YIR010W,Verified,ion
331,YDR331W,Verified,protein
332,YML056C,Verified,biological_process
333,YKR044W,Verified,biological_process
334,YLR433C,Verified,ion
335,YMR068W,Verified,regulation
336,YFL068W,Uncharacterized,biological_process
337,YER032W,Verified,ion
338,YJR070C,Verified,ion
339,YGL005C,Verified,transport
340,YHR043C,Verified,metabolic process
341,YDL111C,Verified,catabolic process
342,YMR133W,Verified,ion
343,YPL007C,Verified,ion
344,YKL159C,Verified,null
345,YDR059C,Verified,protein
346,YBR101C,Verified,ion
347,YLR396C,Verified,protein
348,YBR245C,Verified,regulation
349,YJL216C,Verified,catabolic process
350,YBR210W,Verified,transport
351,YPL103C,Verified,metabolic process
352,YIL103W,Verified,null
353,YIL152W,Uncharacterized,biological_process
354,YJR096W,Verified,catabolic process
355,YAL010C,Verified,ion
356,YGR143W,Verified,ion
357,YGR112W,Verified,null
358,YLR256W,Verified,null
359,YHR174W,Verified,regulation
360,YOR012W,Uncharacterized,biological_process
361,YHR062C,Verified,catabolic process
362,YDL213C,Verified,null
363,YDR317W,Verified,repair
364,YDR478W,Verified,null
365,YKL097C,Dubious,biological_process
366,YNL106C,Verified,ion
367,YOR378W,Verified,transport
368,YFR015C,Verified,null
369,YMR230W,Uncharacterized,ion
370,YIL092W,Uncharacterized,biological_process
371,YLR321C,Verified,repair
372,YGR052W,Uncharacterized,protein
373,YJR161C,Verified,protein
374,SCER_lnc1488,null,null
375,YAL066W,Dubious,biological_process
376,YOR278W,Verified,null
377,YNL085W,Verified,ion
378,YGL061C,Verified,positive
379,YPL210C,Verified,protein
380,YOR087W,Verified,ion
381,YGL234W,Verified,null
382,YOR347C,Verified,metabolic process
383,YPR093C,Verified,protein
384,YAL029C,Verified,ion
385,YOL155C,Verified,ion
386,YDR421W,Verified,catabolic process
387,YGR186W,Verified,ion
388,YDR294C,Verified,metabolic process
389,YHR135C,Verified,protein
390,YDR015C,Dubious,biological_process
391,YBR181C,Verified,ion
392,YOR078W,Verified,ion
393,YOR243C,Verified,null
394,YMR165C,Verified,ion
395,YCR005C,Verified,metabolic process
396,YGR296W,Verified,ion
397,YPR055W,Verified,transport
398,YHR037W,Verified,catabolic process
399,YLR032W,Verified,protein
400,YDR114C,Uncharacterized,biological_process
401,YLL030C,Dubious,biological_process
402,YLL065W,Dubious,biological_process
403,YBR099C,Dubious,biological_process
404,YBL027W,Verified,ion
405,YOL060C,Verified,ion
406,YBL033C,Verified,null
407,YNL232W,Verified,catabolic process
408,YDL076C,Verified,negative
409,YOR225W,Dubious,biological_process
410,YDR120C,Verified,ion
411,YLR465C,Dubious,biological_process
412,YJL192C,Verified,transport
413,YLR054C,Verified,null
414,YLR009W,Verified,null
415,YDR063W,Verified,negative
416,YBR209W,Dubious,biological_process
417,YOR292C,Uncharacterized,biological_process
418,YER044C,Verified,null
419,YDR278C,Uncharacterized,biological_process
420,YLR105C,Verified,ion
421,YML091C,Verified,ion
422,YHR191C,Verified,ion
423,YDL098C,Verified,null
424,YLR202C,Dubious,biological_process
425,YKR005C,Uncharacterized,biological_process
426,YMR143W,Verified,ion
427,YCR063W,Verified,null
428,YNL189W,Verified,protein
429,YCL047C,Verified,null
430,YGL122C,Verified,ion
431,YDL018C,Verified,transport
432,YNL303W,Dubious,biological_process
433,YPR160W,Dubious,catabolic process
434,YBL060W,Verified,protein
435,YBR019C,Verified,catabolic process
436,YKL056C,Verified,ion
437,YGR160W,Dubious,biological_process
438,YDL163W,Dubious,biological_process
439,YPL068C,Uncharacterized,biological_process
440,YJR057W,Verified,null
441,YGL211W,Verified,ion
442,YFL032W,Dubious,biological_process
443,YLR377C,Verified,metabolic process
444,YCL044C,Verified,protein
445,YAL059W,Verified,null
446,YNL007C,Verified,ion
447,YPL148C,Verified,protein
448,YJR137C,Verified,ion
449,YMR021C,Verified,copper
450,YMR074C,Verified,null
451,YDR378C,Verified,ion
452,YJR039W,Uncharacterized,biological_process
453,YDL158C,Dubious,biological_process
454,YOR104W,Verified,biological_process
455,YFL009W,Verified,ion
456,YLR297W,Verified,biological_process
457,YLR279W,Dubious,biological_process
458,YDR216W,Verified,ion
459,YIL120W,Verified,transport
460,YNL021W,Verified,negative
461,YGR095C,Verified,catabolic process
462,YCL027W,Verified,regulation
463,YHR029C,Verified,protein
464,YAL033W,Verified,catabolic process
465,YBR284W,Uncharacterized,biological_process
466,YNR036C,Verified,ion
467,YNR049C,Verified,ion
468,YDR192C,Verified,ion
469,YOL112W,Verified,null
470,YML109W,Verified,positive
471,YOL083W,Verified,protein
472,YNL251C,Verified,ion
473,YBR266C,Dubious,null
474,YBL004W,Verified,null
475,YBR164C,Verified,protein
476,YHR074W,Verified,null
477,YDR464W,Verified,negative
478,YFR030W,Verified,ion
479,YBR131W,Verified,protein
480,YKL078W,Verified,ion
481,YIL055C,Uncharacterized,biological_process
482,YPL053C,Verified,protein
483,YLR351C,Verified,biological_process
484,YNR014W,Uncharacterized,biological_process
485,YER125W,Verified,protein
486,YER152C,Verified,biological_process
487,YLR015W,Verified,histone
488,YHR116W,Verified,null
489,YPL259C,Verified,transport
490,YGR093W,Verified,null
491,YDL037C,Verified,biological_process
492,YLR442C,Verified,negative
493,YHL043W,Verified,biological_process
494,YOR364W,Dubious,biological_process
495,YOR386W,Verified,repair
496,YDR397C,Verified,negative
497,YPR198W,Verified,transport
498,YHL038C,Verified,null
499,YLL053C,Uncharacterized,biological_process
500,YDR425W,Verified,transport
501,YOR331C,Dubious,biological_process
502,YML076C,Verified,positive
503,YKR060W,Verified,null
504,YER069W,Verified,null
505,YMR091C,Verified,ion
506,YER012W,Verified,protein
507,YHR098C,Verified,null
508,YDL135C,Verified,ion
509,YCR093W,Verified,catabolic process
510,YGR273C,Uncharacterized,biological_process
511,YBR069C,Verified,transport
512,YGL040C,Verified,null
513,YCR104W,Verified,biological_process
514,YDR040C,Verified,transport
515,SCER_lnc0078,null,null
516,YPR012W,Dubious,biological_process
517,SCER_lnc0072,null,null
518,SCER_lnc0073,null,null
519,YGR255C,Verified,null
520,YDL051W,Verified,null
521,YBL102W,Verified,transport
522,YPL237W,Verified,ion
523,YLR120C,Verified,ion
524,YEL043W,Verified,biological_process
525,YNL068C,Verified,positive
526,YJL169W,Dubious,biological_process
527,YBL002W,Verified,null
528,YDR146C,Verified,regulation
529,YBR112C,Verified,negative
530,YBL081W,Uncharacterized,biological_process
531,YFL040W,Uncharacterized,transport
532,YNL326C,Verified,protein
533,YDR337W,Verified,ion
534,YJL061W,Verified,protein
535,YPR147C,Verified,biological_process
536,YKL131W,Dubious,biological_process
537,YDR441C,Verified,biological_process
538,YPL094C,Verified,protein
539,YPL023C,Verified,biological_process
540,YDR231C,Verified,ion
541,YJL112W,Verified,ion
542,YFL066C,Uncharacterized,biological_process
543,YNL193W,Uncharacterized,biological_process
544,YML058W,Verified,ion
545,YBR188C,Verified,null
546,YER034W,Verified,biological_process
547,YJR076C,Verified,positive
548,YKL157W,Verified,catabolic process
549,YBR003W,Verified,null
550,YPR129W,Verified,negative
551,YDL113C,Verified,transport
552,YMR135C,Verified,protein
553,YGL007W,Uncharacterized,biological_process
554,YPL005W,Verified,metabolic process
555,YBR247C,Verified,null
556,YLR185W,Verified,null
557,YJL210W,Verified,protein
558,YLR398C,Verified,catabolic process
559,YIL154C,Verified,null
560,YIL101C,Verified,negative
561,YKL004W,Verified,metabolic process
562,YOR208W,Verified,ion
563,YPL154C,Verified,starvation
564,YPL101W,Verified,ion
565,YLR258W,Verified,null
566,YBR178W,Dubious,biological_process
567,YJR098C,Uncharacterized,biological_process
568,YHR176W,Verified,protein
569,YJR018W,Dubious,biological_process
570,YDL211C,Uncharacterized,biological_process
571,YDL244W,Verified,null
572,YDR319C,Uncharacterized,null
573,YKL095W,Verified,ion
574,YOL099C,Dubious,biological_process
575,YIL094C,Verified,null
576,YLR451W,Verified,negative
577,YFR017C,Verified,negative
578,YGR084C,Verified,ion
579,YIL076W,Verified,transport
580,YNR077C,Uncharacterized,biological_process
581,YOL044W,Verified,protein
582,YLR323C,Verified,ion
583,YOR085W,Verified,protein
584,YGR054W,Verified,ion
585,YOR050C,Dubious,biological_process
586,YNL087W,Verified,regulation
587,YGR114C,Dubious,biological_process
588,YLR318W,Verified,null
589,YOR341W,Verified,ion
590,YDR296W,Verified,ion
591,YGL232W,Verified,ion
592,YPR091C,Verified,biological_process
593,YGR141W,Verified,null
594,YAR030C,Dubious,biological_process
595,YJR158W,Verified,transport
596,YHR137W,Verified,metabolic process
597,YBR187W,Verified,ion
598,YMR198W,Verified,ion
599,YCR003W,Verified,ion
600,YDR342C,Verified,transport
601,YMR163C,Verified,null
602,YGR294W,Verified,biological_process
603,YEL008W,Uncharacterized,biological_process
604,YLL067C,Uncharacterized,biological_process
605,YBR020W,Verified,positive
606,YLR418C,Verified,ion
607,YDR112W,Dubious,biological_process
608,YER059W,Verified,regulation
609,YPL153C,Verified,metabolic process
610,YBL025W,Verified,ion
611,YOL066C,Verified,null
612,YDR126W,Verified,regulation
613,YPL216W,Uncharacterized,biological_process
614,YOR223W,Verified,biological_process
615,YEL022W,Verified,transport
616,YHR072W,Verified,null
617,YDL074C,Verified,ion
618,YLR463C,Dubious,biological_process
619,YJL190C,Verified,ion
620,YMR218C,Verified,transport
621,YNL265C,Verified,transport
622,YNL230C,Verified,protein
623,YLL049W,Verified,ion
624,YHR211W,Verified,ion
625,YPR166C,Verified,ion
626,YJL042W,Verified,negative
627,YNL301C,Verified,ion
628,YDR445C,Dubious,biological_process
629,YMR058W,Verified,transport
630,YDR061W,Uncharacterized,biological_process
631,YOR290C,Verified,catabolic process
632,YKL114C,Verified,repair
633,YML024W,Verified,ion
634,YML093W,Verified,null
635,YHR197W,Verified,ion
636,YDR276C,Verified,transport
637,YLR200W,Verified,protein
638,YKR003W,Verified,transport
639,YLR107W,Verified,null
640,YMR321C,Uncharacterized,biological_process
641,YER175C,Verified,biological_process
642,YKL135C,Verified,transport
643,YDL183C,Verified,transport
644,YPL278C,Uncharacterized,biological_process
645,YMR118C,Uncharacterized,biological_process
646,YCL049C,Uncharacterized,biological_process
647,YBL066C,Verified,biological_process
648,YGL107C,Verified,ion
649,YDR169C,Uncharacterized,positive
650,YOR057W,Verified,protein
651,YLR169W,Dubious,biological_process
652,YMR272C,Verified,metabolic process
653,YPR108W,Uncharacterized,protein
654,YKL054C,Verified,repair
655,YGR162W,Verified,ion
656,YDL165W,Verified,catabolic process
657,YDR520C,Uncharacterized,catabolic process
658,YKL023W,Uncharacterized,biological_process
659,YJR051W,Verified,protein
660,YNL009W,Verified,ion
661,YFL034W,Uncharacterized,biological_process
662,YJR135C,Verified,ion
663,YGL213C,Verified,protein
664,YMR076C,Verified,repair
665,YGR205W,Verified,biological_process
666,YJR037W,Dubious,biological_process
667,YNL027W,Verified,positive
668,YLR291C,Verified,regulation
669,YDR210W,Uncharacterized,biological_process
670,YIL122W,Verified,regulation
671,YDL230W,Verified,ion
672,YJR113C,Verified,ion
673,YGR024C,Verified,ion
674,YIR026C,Verified,protein
675,YER057C,Verified,biological_process
676,YGR097W,Verified,protein
677,YIL068C,Verified,transport
678,YCL025C,Verified,transport
679,YNR034W,Verified,null
680,YOL085C,Uncharacterized,biological_process
681,YNL282W,Verified,catabolic process
682,YNL253W,Verified,null
683,YGL144C,Verified,metabolic process
684,YDR190C,Verified,regulation
685,YAL031C,Verified,ion
686,YBL006C,Verified,ion
687,YGR108W,Verified,regulation
688,YBR264C,Verified,ion
689,YBR231C,Verified,histone
690,YPL197C,Dubious,biological_process
691,YBR166C,Verified,metabolic process
692,YDR462W,Verified,ion
693,YJL148W,Verified,ion
694,YIL057C,Verified,metabolic process
695,YPL055C,Verified,ion
696,__ambiguous,null,null
697,YLR353W,Verified,ion
698,YIL148W,Verified,ion
699,YNR016C,Verified,protein
700,YFR036W,Dubious,protein
701,YHR114W,Verified,ion
702,YGR028W,Verified,protein
703,YER150W,Verified,null
704,YNL279W,Verified,ion
705,YDR400W,Verified,catabolic process
706,YDL068W,Dubious,biological_process
707,YOL027C,Verified,transport
708,YPL257W,Uncharacterized,biological_process
709,YPL120W,Verified,transport
710,YOL145C,Verified,regulation
711,YJL099W,Verified,transport
712,YHR149C,Verified,biological_process
713,YOL110W,Verified,protein
714,YDR005C,Verified,negative
715,YMR311C,Verified,ion
716,YHL041W,Dubious,biological_process
717,YBL039C,Verified,null
718,YGR188C,Verified,protein
719,YOR362C,Verified,protein
720,YLR126C,Verified,copper
721,YDL053C,Verified,biological_process
722,YML074C,Verified,ion
723,YKR062W,Verified,ion
724,YNL286W,Verified,null
725,YER010C,Verified,catabolic process
726,YML003W,Uncharacterized,biological_process
727,YMR097C,Verified,ion
728,YDL133W,Verified,null
729,YDR158W,Verified,ion
730,YGR228W,Dubious,biological_process
731,YHR096C,Verified,transport
732,YDL035C,Verified,ion
733,YMR253C,Uncharacterized,biological_process
734,YCR102C,Uncharacterized,copper
735,YOR257W,Verified,ion
736,YGR002C,Verified,repair
737,YDR042C,Uncharacterized,biological_process
738,YGR075C,Verified,ion
739,YGR253C,Verified,protein
740,YDR510W,Verified,protein
741,YEL014C,Dubious,biological_process
742,YDR467C,Dubious,biological_process
743,YPR045C,Verified,null
744,YPR010C,Uncharacterized,ion
745,YPL231W,Verified,null
746,YLR148W,Verified,transport
747,YMR137C,Verified,repair
748,YDL082W,Verified,ion
749,YKL155C,Verified,ion
750,YFL042C,Verified,transport
751,YBL083C,Dubious,biological_process
752,YDR148C,Verified,metabolic process
753,YPL096W,Verified,protein
754,YDR335W,Verified,protein
755,YPR141C,Verified,ion
756,YJL067W,Dubious,biological_process
757,YMR039C,Verified,repair
758,YOR107W,Verified,protein
759,YDR443C,Verified,negative
760,YCR095C,Uncharacterized,biological_process
761,YLL011W,Verified,ion
762,YCR077C,Verified,null
763,YLR437C,Dubious,biological_process
764,YFL064C,Uncharacterized,biological_process
765,YNL191W,Verified,catabolic process
766,YDR237W,Verified,ion
767,YJL110C,Verified,negative
768,YKR048C,Verified,protein
769,YBR001C,Verified,catabolic process
770,YPL003W,Verified,protein
771,YKL108W,Verified,repair
772,YJR094C,Verified,regulation
773,YJR074W,Verified,protein
774,YPR127W,Verified,biological_process
775,YDL148C,Verified,ion
776,YAL012W,Verified,ion
777,YMR288W,Verified,null
778,YIL156W,Verified,protein
779,YBR241C,Uncharacterized,transport
780,YJL212C,Verified,metabolic process
781,YPL156C,Verified,biological_process
782,YNL312W,Verified,ion
783,YLR187W,Verified,biological_process
784,YDR099W,Verified,ion
785,YKL133C,Uncharacterized,biological_process
786,YKL188C,Verified,ion
787,YHR170W,Verified,null
788,YDR259C,Verified,negative
789,YKL068W,Verified,ion
790,YGR098C,Verified,ion
791,YKL093W,Verified,ion
792,YMR002W,Verified,ion
793,YLR261C,Uncharacterized,null
794,YDL246C,Verified,metabolic process
795,YER081W,Verified,null
796,YPL178W,Verified,null
797,YPR202W,Uncharacterized,biological_process
798,YIL096C,Verified,ion
799,YOL046C,Dubious,biological_process
800,YFR011C,Verified,ion
801,YIL074C,Verified,null
802,YHL008C,Uncharacterized,transport
803,YLR457C,Verified,ion
804,YNL249C,Verified,biological_process
805,YGR056W,Verified,repair
806,YGL065C,Verified,null
807,YOR052C,Verified,protein
808,YBR012C,Dubious,biological_process
809,YGR116W,Verified,negative
810,YOR343C,Dubious,biological_process
811,YGL230C,Uncharacterized,biological_process
812,YOL159C,Verified,biological_process
813,YBR185C,Verified,membrane organization
814,YBR129C,Verified,biological_process
815,YDR290W,Dubious,biological_process
816,YDR019C,Verified,metabolic process
817,YBR150C,Verified,biological_process
818,YIR042C,Uncharacterized,biological_process
819,YER119C,Dubious,transport
820,YMR196W,Uncharacterized,biological_process
821,YKR105C,Verified,transport
822,YDR499W,Verified,protein
823,YCR054C,Verified,biological_process
824,YMR322C,Verified,null
825,YLL061W,Verified,transport
826,YDR110W,Verified,ion
827,YDR419W,Verified,ion
828,YOR221C,Verified,metabolic process
829,YPL214C,Verified,null
830,YGL165C,Dubious,biological_process
831,YOL064C,Verified,ion
832,YBL023C,Verified,repair
833,YOR274W,Verified,ion
834,YHR213W,Uncharacterized,biological_process
835,YOR329C,Verified,ion
836,YLR005W,Verified,repair
837,YDR124W,Uncharacterized,biological_process
838,YNL267W,Verified,ion
839,YJL143W,Verified,protein
840,YLL047W,Dubious,biological_process
841,YLR461W,Verified,biological_process
842,YLR050C,Uncharacterized,biological_process
843,YNL307C,Verified,ion
844,YDR067C,Uncharacterized,biological_process
845,YOR296W,Uncharacterized,biological_process
846,YJL044C,Verified,transport
847,YPR164W,Verified,repair
848,YEL060C,Verified,protein
849,YDR274C,Uncharacterized,biological_process
850,YLR101C,Dubious,biological_process
851,YML026C,Verified,ion
852,YPR066W,Verified,protein
853,YDR229W,Verified,ion
854,YDL181W,Verified,negative
855,YBR022W,Verified,ion
856,YER177W,Verified,negative
857,YML048W,Verified,protein
858,YBL064C,Verified,ion
859,YHR006W,Verified,positive
860,YKL221W,Verified,transport
861,YGL126W,Verified,metabolic process
862,YLR167W,Verified,ion
863,YMR270C,Verified,ion
864,YLR293C,Verified,transport
865,YLR228C,Verified,positive
866,YJR053W,Verified,negative
867,YJL171C,Verified,biological_process
868,YDR374C,Verified,regulation
869,YKL021C,Verified,ion
870,YDL167C,Verified,biological_process
